id,action,repaired
6948542f8b915e7ef74259ba,updated,0
69b661057ae98cd305a28950,skipped,0
69b6610d7ae98cd305a28951,skipped,0
69b661147ae98cd305a28952,skipped,0
69b661177ae98cd305a28953,skipped,0
69b661197ae98cd305a28954,skipped,0
69b6611b7ae98cd305a28955,skipped,0
69b6611e7ae98cd305a28956,skipped,0
69b661227ae98cd305a28957,skipped,0
69b661247ae98cd305a28958,skipped,0
69b661277ae98cd305a28959,skipped,0
69b661417ae98cd305a2895a,skipped,0
69b661447ae98cd305a2895b,skipped,0
69b661477ae98cd305a2895c,skipped,0
69b6614a7ae98cd305a2895d,skipped,0
69b6614d7ae98cd305a2895e,skipped,0
